-,,
ISL,Island Line,港島綫,007DC5
TWL,Tsuen Wan Line,荃灣綫,ED1D24
KTL,Kwun Tong Line,觀塘綫,00AB4E
TKL,Tseung Kwan O Line,將軍澳綫,7D499D
EAL,East Rail Line,南北綫,53B7E8
TCL,Tung Chung Line,東涌綫,F7943E
AEL,Airport Express Line,機場快綫,00888A
MOL,Ma On Shan Line,東西綫,923011
DRL,Disneyland Resort Line,迪士尼綫,F173AC
SIL,South Island Line,南港島綫,C1CD23
